PLAYER,TEAM,GP,MIN/G,RAM,C-RAM,PSP,3PE,FGS,BMS,DSI,FG%,PTS/G,REB/G,AST/G,STL/G,BLK/G
Austin Sperry,Team Thad (16U),4,16,430,5.4,56,63,58,47,71,40.7%,10.0,2.5,2.0,0.8,0.3
Thomas Ahneman,Howard Pulley/Team Tyus (16U),4,15,430,5.4,47,49,50,64,62,53.3%,5.3,3.5,1.0,0.0,0.3
Sam Hughes,Expressions (16U),5,25,429,5.4,52,81,52,47,47,40.5%,8.2,2.0,1.4,0.2,0.0
Justin Burrough,Boo Williams (16U),5,23,429,5.4,41,69,54,55,74,41.7%,5.0,3.4,1.2,0.6,0.4
Adam Walker,Meanstreets (16U),4,10,429,5.4,48,0,38,59,57,70.0%,3.8,2.8,0.5,0.0,0.5
Jacob Wilkins,The Skill Factory (16U),4,23,425,5.3,46,41,40,57,92,32.4%,9.5,5.0,0.5,1.0,1.0
Omari Moore,PSA Cardinals (16U),5,15,424,5.3,51,67,39,38,58,47.1%,6.2,1.0,0.4,0.2,0.4
Jacob Ross,Team Melo (16U),4,27,423,5.3,45,0,48,56,90,41.4%,7.8,3.3,1.0,1.3,0.5
Jake West,Team Final (16U),4,27,422,5.3,49,54,69,45,74,37.5%,9.0,2.0,3.3,1.0,0.0
Sharod Barnes,The Family (16U),4,17,422,5.3,51,0,69,43,77,47.6%,7.8,2.0,3.3,1.3,0.0
Aiden Disu,Proskills (16U),5,21,420,5.3,45,60,43,60,55,50.0%,5.2,3.8,0.8,0.2,0.4
Julius Edmonds,Indy Heat (16U),4,18,420,5.3,47,0,49,55,42,56.3%,5.5,3.0,1.0,0.0,0.0
Evan Sterck,Georgia Stars (16U),4,22,419,5.3,51,84,57,40,77,36.4%,8.5,1.3,1.8,1.3,0.0
Devin Isaj,Phenom University (16U),4,10,418,5.3,50,46,41,56,62,60.0%,4.8,2.3,0.5,0.3,0.0
Derek Bishop,Meanstreets (16U),4,13,412,5.2,52,77,46,44,55,43.5%,6.8,1.5,0.8,0.3,0.0
Bryce Dawson,Alabama Fusion (16U),3,8,410,5.2,44,84,0,38,0,50.0%,3.0,1.0,0.0,0.0,0.0
Benny Fragela,Nightrydas Elite (16U),5,27,410,5.2,48,79,56,39,24,35.1%,7.4,1.4,1.6,0.0,0.0
Zyree Collins,Brad Beal Elite (16U),4,28,408,5.1,42,48,85,45,62,34.6%,7.8,2.8,6.5,0.8,0.0
Abijah Franklin,The Skill Factory (16U),4,9,407,5.1,59,51,40,49,78,50.0%,8.0,1.5,0.5,0.8,0.0
Connor Sprattley,NH Lightning (16U),4,18,405,5.1,48,45,59,45,73,45.8%,7.0,2.0,1.8,0.8,0.0
Keith McKnight,PSA Cardinals (16U),5,17,403,5.1,48,68,41,53,76,39.4%,7.4,2.6,0.4,0.4,0.2
Austin Williford,Team Takeover (16U),5,21,398,5.0,36,54,67,53,69,39.1%,4.4,3.6,2.8,0.8,0.0
Charlie OSullivan,City Rocks (16U),4,12,397,5.0,50,75,40,43,47,42.9%,6.0,1.3,0.5,0.0,0.3
Micah Waters,Team Final (16U),4,11,397,5.0,32,57,39,25,0,50.0%,1.8,0.3,0.5,0.0,0.0
Cameron Hutson,The Family (16U),4,21,396,5.0,44,49,58,52,79,38.5%,7.0,3.5,1.8,1.3,0.3
Mike Williams,Houston Hoops (16U),5,23,393,5.0,40,60,66,46,77,37.0%,6.0,3.2,3.0,1.4,0.0
Markell Alston,NJ Scholars (16U),4,24,391,5.0,43,72,69,43,76,33.3%,6.8,2.0,3.3,1.3,0.0
Chadlyn Traylor,Georgia Stars (16U),4,25,391,4.9,44,54,62,50,57,34.6%,7.8,3.0,2.3,0.3,0.0
Jason Scott,Proskills (16U),4,9,389,4.9,46,43,64,42,70,54.5%,4.3,1.3,1.0,0.5,0.0
Ace Flagg,Maine United (16U),4,22,387,4.9,49,0,58,47,79,37.8%,9.8,2.5,2.0,1.5,0.5
Jaden Nickens,Drive Nation (16U),5,19,387,4.9,47,69,55,54,64,37.5%,7.4,3.0,1.6,0.6,0.0
Jamarion Fleming,Team Thad (16U),4,22,383,4.9,37,0,13,71,91,42.9%,5.0,6.3,0.0,0.5,2.8
John Lash,Team CP3 (16U),4,16,383,4.9,42,0,38,60,82,47.4%,5.3,4.3,0.5,1.0,0.0
Joshua Pettigrew,Meanstreets (16U),4,19,382,4.8,40,55,33,63,66,50.0%,4.5,4.5,0.3,0.3,0.3
Jaylin Williams-Crawford,Expressions (16U),5,17,378,4.8,34,38,52,52,76,46.7%,3.4,2.8,1.2,0.6,0.2
Jaleel Donley,Howard Pulley/Team Tyus (16U),4,27,378,4.8,43,61,70,41,68,30.0%,8.8,2.5,3.5,0.8,0.3
Gabriel DAlessandro,Boo Williams (16U),5,6,378,4.8,52,74,39,33,0,50.0%,4.8,0.8,0.4,0.0,0.0
Brandon Lee,New York Renaissance (16U),5,16,376,4.8,51,57,31,46,64,41.0%,8.2,2.2,0.2,0.4,0.0
Devin Sims,Boo Williams (16U),5,7,373,4.7,40,0,0,33,24,71.4%,2.2,0.4,0.0,0.0,0.0
Nathaniel Williams,Team CP3 (16U),5,19,373,4.7,39,66,73,41,67,33.3%,5.6,1.8,3.8,0.6,0.0
Landon Clark,Maine United (16U),4,25,373,4.7,43,70,58,48,65,30.0%,7.5,2.3,2.0,0.3,0.3
Jayden Fort,Team Durant (16U),4,17,369,4.7,51,0,31,50,50,46.2%,8.3,2.0,0.3,0.0,0.3
Oluwatumininu Oluokun,Houston Hoops (16U),5,20,368,4.7,38,0,54,54,55,47.1%,4.6,3.2,1.4,0.2,0.0
Mason Klabo,Howard Pulley/Team Tyus (16U),2,23,368,4.7,50,79,60,40,24,35.3%,9.0,1.5,2.5,0.0,0.0
Cy Merrett,Proskills (16U),5,10,366,4.7,49,0,36,50,44,52.9%,5.6,2.2,0.2,0.0,0.0
AmariYunn Blythe,Indy Heat (16U),4,10,365,4.7,44,0,11,48,60,58.3%,4.0,2.0,0.0,0.3,0.3
Chace Watley,Howard Pulley/Team Tyus (16U),4,18,364,4.6,42,49,57,42,65,42.1%,6.0,1.5,1.8,0.5,0.0
Jayden Miles,Indy Heat (16U),4,16,364,4.6,49,45,0,57,64,44.0%,7.5,3.3,0.0,0.0,1.0
Dawson Townsend,Maine United (16U),4,8,362,4.6,34,62,43,48,29,50.0%,2.0,1.8,0.5,0.0,0.0
Dakarion Bryant,Alabama Fusion (16U),5,10,359,4.6,46,68,29,41,49,43.5%,5.2,1.2,0.2,0.0,0.4
Akila Proctor,Boo Williams (16U),3,6,356,4.5,27,61,0,0,0,50.0%,1.0,0.0,0.0,0.0,0.0
Jack Lutz,Phenom University (16U),4,10,356,4.5,32,66,0,48,38,50.0%,2.0,1.3,0.0,0.0,0.0
Parker Jefferson,Houston Hoops (16U),3,21,352,4.5,43,0,50,59,69,36.8%,8.0,5.7,1.3,1.0,0.3
Jed-Ethan Nansha,Drive Nation (16U),5,11,350,4.5,42,0,46,56,54,52.9%,4.2,2.4,0.6,0.0,0.0
Zakariyya Dwight,The Skill Factory (16U),3,8,349,4.5,33,0,47,55,74,60.0%,2.0,2.0,0.7,0.0,0.7
Jacob Davis,City Rocks (16U),4,16,349,4.5,38,0,44,60,48,47.1%,4.5,5.0,0.8,0.0,0.3
Jai Hayes,Brad Beal Elite (16U),4,25,345,4.4,43,47,50,47,53,37.5%,7.3,2.3,1.3,0.3,0.0
Jahrel Vigo,Team Final (16U),4,16,343,4.4,35,56,53,51,81,41.2%,4.0,3.3,1.0,1.0,0.0
Tristian Davis,NH Lightning (16U),4,7,343,4.4,39,0,37,38,68,62.5%,2.5,0.5,0.3,0.5,0.0
Elijah Clinton,Indy Heat (16U),4,16,343,4.4,43,0,48,51,73,38.2%,7.3,2.8,1.0,0.3,0.8
Dywane Chess,Team Final (16U),4,9,337,4.3,39,54,47,50,63,42.9%,3.8,1.8,0.8,0.3,0.0
Tyler Kropp,All Ohio (16U),4,15,336,4.3,40,0,32,52,67,45.0%,5.0,3.0,0.3,0.3,0.5
Patrick Johnson,Alabama Fusion (16U),5,17,336,4.3,34,0,37,59,81,41.7%,4.0,4.4,0.4,0.6,0.4
Jared Butler,Expressions (16U),5,17,336,4.3,34,66,41,45,55,40.0%,3.4,1.8,0.6,0.2,0.2
Bruce Wingate,City Rocks (16U),4,18,334,4.3,44,55,43,39,65,37.0%,6.8,1.3,0.8,0.8,0.0
Reginald Webster,Drive Nation (16U),5,11,334,4.3,37,67,54,45,58,42.9%,3.8,1.2,1.0,0.0,0.4
Lance Piper,NH Lightning (16U),4,10,333,4.3,39,76,11,36,61,35.3%,4.3,1.3,0.0,0.3,0.0
Kellen Pickett,Indy Heat (16U),3,16,332,4.3,38,65,39,55,57,37.5%,5.0,3.0,0.3,0.0,0.0
Olin Chamberlain,NJ Scholars (16U),4,7,329,4.2,42,0,74,0,61,54.5%,3.5,0.0,1.3,0.3,0.0
Sebastian Randolph,The Family (16U),4,10,328,4.2,27,0,31,32,43,60.0%,1.5,0.5,0.3,0.0,0.3
Adam Chiacchia,City Rocks (16U),4,13,328,4.2,36,0,47,41,79,45.5%,4.0,1.3,0.8,0.8,0.0
Amari Davis,Florida Rebels (16U),5,11,325,4.2,34,54,35,53,48,46.2%,2.8,2.6,0.2,0.0,0.0
Nelson Mboudjika,Expressions (16U),4,10,321,4.1,27,0,13,53,70,60.0%,1.5,2.3,0.0,0.5,0.3
Johnniyus Sharpe,Team United (16U),5,13,317,4.1,39,45,54,41,63,40.0%,5.0,1.4,1.2,0.4,0.0
Ryan Hempfling,New York Renaissance (16U),5,10,316,4.1,34,52,30,46,50,46.2%,2.8,1.2,0.2,0.0,0.2
Harvin Guevara,PSA Cardinals (16U),5,7,315,4.1,34,0,31,55,61,60.0%,2.0,1.8,0.2,0.0,0.4
Melvin Bell,Meanstreets (16U),4,26,315,4.1,39,47,59,44,54,26.5%,8.5,3.0,2.0,0.3,0.0
Jayden Forsythe,NH Lightning (16U),4,21,313,4.1,38,52,45,47,68,29.6%,6.5,2.8,0.8,0.5,0.3
AJ Mcpeters,Drive Nation (16U),5,8,312,4.1,36,49,43,44,61,43.8%,3.2,1.8,0.6,0.4,0.0
Tyler Jones,Team Thad (16U),4,15,312,4.0,31,0,75,41,67,35.7%,4.0,2.3,3.8,0.8,0.0
Kamari Cooke,Team United (16U),5,13,311,4.0,34,66,54,39,0,33.3%,3.8,1.8,1.2,0.0,0.0
Brandon Holmes,Team Durant (16U),4,13,310,4.0,34,0,46,44,45,46.2%,3.5,2.0,0.5,0.0,0.3
Bashir Djeukam,UPlay (16U),4,17,309,4.0,41,0,49,44,48,41.2%,6.0,1.8,1.3,0.3,0.0
Brendan Oliver,NJ Scholars (16U),4,13,306,4.0,33,0,66,44,44,40.0%,3.8,2.0,1.5,0.0,0.0
Chase Konieczny,Indy Heat (16U),4,14,306,4.0,35,54,46,46,72,35.0%,4.5,1.5,0.8,0.5,0.0
Kieran Granville,All Ohio (16U),4,16,305,4.0,34,0,46,54,63,38.9%,4.3,3.5,0.8,0.0,0.5
Mario Tatum,Team Durant (16U),4,20,301,3.9,36,41,50,44,45,38.1%,5.0,1.8,1.3,0.0,0.3
Christopher McLavish,The Family (16U),4,8,301,3.9,36,74,43,31,0,33.3%,3.5,0.8,0.5,0.0,0.0
Xavier Johnson,The Family (16U),4,15,300,3.9,36,0,57,49,49,38.1%,5.0,2.8,1.8,0.0,0.3
Dominic Murphy,Meanstreets (16U),4,23,296,3.9,37,55,50,50,55,25.0%,7.5,4.5,1.3,0.0,0.5
Zoumana Traore,PSA Cardinals (16U),4,6,295,3.9,31,0,0,43,29,60.0%,1.5,1.5,0.0,0.0,0.0
Jaydon Awe,Phenom University (16U),4,14,295,3.9,27,56,32,52,66,40.0%,2.3,2.5,0.3,0.0,0.5
Arael Jones,Team United (16U),5,10,292,3.8,34,0,41,35,60,46.2%,3.2,0.6,0.6,0.4,0.0
Sammy Nzeyimana,Maine United (16U),4,19,288,3.8,27,53,51,30,58,33.3%,2.5,0.5,1.3,0.5,0.0
Daveyon Lydner,Team Final (16U),4,12,288,3.8,31,71,35,34,53,35.7%,3.3,1.0,0.3,0.0,0.3
Zion Sampaio,The Skill Factory (16U),4,11,286,3.8,33,62,48,41,61,31.3%,3.8,2.0,0.5,0.3,0.0
Taj Walters,New York Renaissance (16U),5,16,281,3.7,29,0,53,45,51,40.0%,3.0,2.2,1.4,0.0,0.4
Jalyn Connor,Team United (16U),5,8,280,3.7,33,64,44,36,31,33.3%,3.2,0.8,0.6,0.0,0.0
Khalil Caple,Boo Williams (16U),5,16,277,3.7,33,52,62,35,81,25.0%,5.6,1.6,2.0,1.4,0.0
Osasenaga Idada,Expressions (16U),5,4,273,3.6,35,0,47,24,77,50.0%,2.0,0.4,0.2,0.6,0.0
Hamza Zahran,Team Melo (16U),4,10,270,3.6,35,58,40,39,33,33.3%,4.0,1.3,0.5,0.0,0.0
Damajay Richardson,Meanstreets (16U),4,16,268,3.6,30,0,51,35,53,38.5%,3.5,1.5,1.3,0.5,0.0
Kiwane Garris,Georgia Stars (16U),4,14,267,3.5,24,38,72,44,70,23.1%,3.3,2.5,2.0,0.3,0.0
Benjamin Winker,Brad Beal Elite (16U),4,11,265,3.5,29,0,11,44,66,44.4%,2.5,1.5,0.0,0.3,0.0
Miles Newton,Howard Pulley/Team Tyus (16U),4,7,262,3.5,26,58,32,26,0,33.3%,1.8,0.5,0.3,0.0,0.0
Jadon Holmes,Expressions (16U),5,15,260,3.5,25,38,39,44,38,36.4%,2.2,2.0,0.4,0.0,0.0
Rashad Bryant,Alabama Fusion (16U),2,6,260,3.5,31,0,0,53,42,50.0%,2.0,2.5,0.0,0.0,0.0
Zekiah Gilliatt,Boo Williams (16U),4,4,259,3.4,31,71,37,22,0,37.5%,2.0,0.3,0.3,0.0,0.0
Myles Sidney,Team CP3 (16U),4,10,259,3.4,31,0,0,32,0,44.4%,2.8,1.0,0.0,0.0,0.0
Jordan Fisher,All Ohio (16U),4,6,255,3.4,34,45,0,22,0,41.7%,2.8,0.3,0.0,0.0,0.0
Carey Maxey,Team Final (16U),4,22,254,3.4,36,73,43,34,48,21.2%,7.5,1.5,0.8,0.3,0.0
Imisi-oluwa Motunde,UPlay (16U),4,4,253,3.4,25,62,62,26,61,40.0%,1.3,0.5,0.5,0.3,0.0
Daniel Ogomeka,Boo Williams (16U),5,9,244,3.3,26,0,0,50,64,38.5%,2.4,3.2,0.0,0.0,1.2
Teigan Pelletier,Maine United (16U),4,14,242,3.3,27,48,49,46,64,27.8%,3.3,2.5,1.0,0.5,0.0
Jamari Jenkins,Team Takeover (16U),5,13,239,3.2,19,36,53,34,58,33.3%,1.4,1.2,1.2,0.4,0.0
Justin Houser,Team Melo (16U),4,12,236,3.2,25,0,0,46,74,33.3%,2.8,2.3,0.0,0.0,1.0
David Keary,Georgia Stars (16U),4,13,234,3.2,26,37,48,46,66,27.8%,3.3,2.5,1.0,0.5,0.0
Austin Brown,Proskills (16U),5,11,234,3.2,25,53,51,34,49,27.8%,2.6,1.2,0.8,0.2,0.0
Wyatt Norton,Team Takeover (16U),5,10,231,3.1,24,0,58,41,73,33.3%,2.4,1.6,0.8,0.4,0.2
Nishaan Singh,UPlay (16U),4,4,224,3.1,17,0,45,22,0,50.0%,0.5,0.3,0.5,0.0,0.0
Jaiden Reyonlds,City Rocks (16U),3,7,224,3.0,28,0,37,37,29,36.4%,2.7,1.3,0.3,0.0,0.0
Chidi Nwosu,Expressions (16U),5,14,222,3.0,20,0,41,51,54,33.3%,1.8,4.0,0.6,0.0,0.4
Danny Murray,City Rocks (16U),4,19,218,3.0,22,44,60,31,63,21.1%,3.0,1.0,2.0,0.3,0.3
Connor Igoe,NH Lightning (16U),4,8,218,3.0,20,51,11,21,56,33.3%,1.3,0.3,0.0,0.3,0.0
Elijah Finley,Team Thad (16U),3,7,212,2.9,29,0,45,33,32,33.3%,3.3,1.0,0.3,0.0,0.0
Pryce Gregoire,Phenom University (16U),4,10,212,2.9,26,46,11,41,59,27.3%,3.0,2.3,0.0,0.3,0.0
Chinedu Oklara,NJ Scholars (16U),2,1,205,2.8,38,0,0,0,0,50.0%,1.0,0.0,0.0,0.0,0.0
Justin Bowen,Phenom University (16U),4,18,205,2.8,20,0,47,42,40,26.7%,2.3,3.0,0.8,0.0,0.0
Ashton Magee,Team Thad (16U),4,7,205,2.8,19,0,82,33,70,30.0%,1.5,1.3,1.8,0.5,0.0
Eric Chatfield,The Skill Factory (16U),4,19.3,201,2.8,24,44,58,30,72,18.9%,4.5,1.0,2.0,1.0,0.0
Brady Wooley,Howard Pulley/Team Tyus (16U),4,9.3,200,2.8,21,0,47,35,33,33.3%,1.8,1.0,0.8,0.0,0.0
Eddie Cooke,The Skill Factory (16U),4,14.8,191,2.7,25,33,45,37,60,20.8%,4.3,2.0,0.8,0.3,0.3
Elijah Parker,New York Renaissance (16U),4,14.8,191,2.7,18,0,60,37,65,22.2%,2.3,2.5,1.5,0.5,0.0
Amare James,The Skill Factory (16U),4,9.8,187,2.6,26,0,33,29,28,27.3%,3.5,0.8,0.3,0.0,0.0
Malachi Arrington,City Rocks (16U),4,9.5,187,2.6,18,0,0,40,59,33.3%,1.3,1.5,0.0,0.0,0.8
Leo McNabb,Maine United (16U),4,9.5,182,2.6,14,51,54,34,29,20.0%,1.0,1.0,1.0,0.0,0.0
Joseph Green,Team Durant (16U),4,15.5,178,2.5,16,49,59,33,66,20.0%,1.8,1.5,2.0,0.8,0.0
Cade Bennerman,Georgia Stars (16U),4,10,177,2.5,14,0,35,45,58,28.6%,1.0,3.0,0.3,0.0,0.5
David Dix,City Rocks (16U),3,7,175,2.5,18,0,0,31,32,33.3%,1.3,0.7,0.0,0.0,0.0
Vincas Buzelis,Brad Beal Elite (16U),4,12.3,171,2.4,15,0,53,32,76,25.0%,1.3,1.5,1.0,0.8,0.0
Tyler Lucas,Team Thad (16U),3,7.3,168,2.4,15,0,59,31,0,25.0%,1.3,1.7,1.3,0.0,0.0
Trent Egbiremolen,Team Melo (16U),4,4.5,167,2.4,12,0,0,0,0,33.3%,0.5,0.0,0.0,0.0,0.0
Lance Stone,The Family (16U),4,6.5,164,2.4,13,59,51,28,0,20.0%,0.8,1.0,0.8,0.0,0.0
Juan Arche,The Skill Factory (16U),3,4.7,155,2.3,14,0,0,37,54,33.3%,0.7,1.0,0.0,0.0,0.3
Gabriel Lash,Maine United (16U),4,9.8,153,2.2,15,0,40,40,48,25.0%,1.3,1.8,0.3,0.0,0.0
Jayden Kelsey,Team Durant (16U),4,18,145,2.2,7,0,59,37,58,14.3%,0.5,3.5,2.0,0.3,0.0
David Chong,Houston Hoops (16U),5,8.6,139,2.1,10,46,27,38,33,16.7%,0.6,1.8,0.2,0.0,0.0
Brett Freeman,Team Thad (16U),2,8.5,123,1.9,12,0,38,24,0,20.0%,1.0,1.0,0.5,0.0,0.0